"ConState","Year","TotInsLabour","InsLabEmp","InsLabUnemp","TotOutLabour","TotInsLabourM","InsLabEmpM","InsLabUnempM","TotOutLabourM","TotInsLabourF","InsLabEmpF","InsLabUnempF","TotOutLabourF","AllTotalWorkForce","SubTotWorkForce","BumiWorkForce","ChineseWorkForce","IndianWorkForce","OtherWorkForce","SubTotForeignWorkForce"
"Sabah",1990,479.9,436.9,43,270.7,345.3,315.6,29.7,49.9,134.6,121.2,13.4,220.8,479.9,374.4,242.8,80.9,1.6,49,105.5
"Sarawak",1990,775.4,698.9,76.5,227.1,453.9,417.7,36.2,46.9,321.5,281.2,40.3,180.2,775.4,768.4,541.9,213.5,7.1,5.8,7
"Selangor",1990,1060,1039.4,20.6,514.9,688.8,674.7,14.1,123.3,371.2,364.7,6.5,391.6,1060,1032.6,482.3,379.9,168.6,1.8,27.4
"Terengganu",1990,244.6,227.6,16.9,117.5,157.3,148.5,8.8,26.5,87.2,79.1,8.1,91,244.6,237.6,224.5,11.4,1.1,0.7,6.9
"W.P Kuala Lumpur",1990,503.9,490.7,13.2,247.2,322.4,314.4,8,62.3,181.5,176.3,5.2,184.9,503.9,492.5,155.7,274.4,61.9,0.4,11.4
"W.P Labuan",1990,15.7,14.8,0.9,9.3,12.6,11.9,0.7,0.4,3.1,2.9,0.2,8.9,15.7,12.3,7.5,3.7,0.9,0.2,3.4
"Johor",1992,947.1,926,21.1,454,617.8,604.6,13.2,98.1,329.3,321.4,7.9,356,947.1,897.9,382.6,381,69.7,64.7,49.1
"Kedah",1992,514,495,19,305.6,333.4,322,11.4,66.5,180.6,173.1,7.6,239.1,514,507.5,351.9,104.9,44.5,6.2,6.5
"Kelantan",1992,404.1,382.5,21.6,228.2,242.1,228.3,13.8,58.3,162,154.2,7.8,169.9,404.1,393.6,359.1,29.3,1.4,3.8,10.5
"Malaysia",1992,7319,7047.8,271.2,3783.6,4716.5,4554.2,162.3,841.4,2602.5,2493.6,108.9,2942.2,7319,6963.6,3881.6,2305.3,616.6,160.2,355.4
"Melaka",1992,214.4,207.4,7.1,116,132.082,128.208,3.874,26.674,82.347,79.156,3.191,89.295,214.4,208,105.2,79,20.1,3.6,6.4
"N. Sembilan",1992,259.8,251.4,8.5,146.1,160.8,155.5,5.3,33.5,99,95.9,3.2,112.6,259.8,253.8,129.1,77.4,45.2,2.2,6
"P. Pinang",1992,521.4,512.6,8.8,293.6,330.283,324.069,6.214,70.705,191.2,188.6,2.6,222.8,521.4,515.6,188.5,266.2,60,0.9,5.9
"Pahang",1992,428.9,417,11.9,235.5,297,289.7,7.3,42,131.9,127.3,4.6,193.5,428.9,415.1,277.8,109.4,27.3,0.7,13.8
"Perak",1992,719.7,692.9,26.8,439.5,450.2,432.3,18,102.9,269.4,260.6,8.8,336.7,719.7,706.5,319.3,280,105.8,1.4,13.1
"Perlis",1992,68.8,66.9,1.9,43.5,47.8,46.6,1.2,7.1,21,20.3,0.7,36.4,68.8,67.8,54.8,10.6,0.5,1.8,1
"Sabah",1992,524.3,491.5,32.7,281,373.5,351.7,21.9,48.6,150.7,139.8,10.9,232.4,524.3,381.9,232,83.7,2.9,63.3,142.3
"Sarawak",1992,771.1,711.3,59.8,290.5,476.6,449.5,27.1,54.1,294.6,261.8,32.7,236.4,771.1,749.4,528.2,214.7,3.7,2.8,21.7
"Selangor",1992,1092.8,1069.6,23.2,524.3,707,692.7,14.2,131.1,385.8,376.9,9,393.2,1092.8,1048.3,496.1,370.5,175.2,6.5,44.5
"Terengganu",1992,267.7,252.9,14.8,143.3,174.9,164.8,10.1,32.3,92.9,88.1,4.7,110.9,267.7,261.6,245.4,14.9,1.2,0.2,6.1
"W.P Kuala Lumpur",1992,569.6,555.8,13.7,273.3,361.6,353,8.6,68.4,207.9,202.8,5.1,204.8,569.6,545.7,205.4,280.7,58.9,0.6,23.9
"W.P Labuan",1992,15.4,14.9,0.5,9.5,11.5,11.3,0.3,1.2,3.8,3.6,0.2,8.2,15.4,10.7,6.2,2.9,0.1,1.4,4.7
"Johor",1993,1003,974.3,28.7,425.6,643.1,625.7,17.4,85.3,360,348.6,11.3,340.3,1003,920.5,403.6,344.8,68.1,104.1,82.5
"Kedah",1993,492.8,475.1,17.8,294.9,332.3,322,10.2,51.9,160.6,153,7.5,243,492.8,480.1,346.2,85.7,42.1,6.1,12.7
"Kelantan",1993,413.7,394.4,19.3,256.1,259.6,250,9.6,61.2,154.1,144.4,9.7,194.9,413.7,404.5,380,20.9,2.6,1,9.2
"Malaysia",1993,7700.1,7383.4,316.8,3874.9,5043.3,4853.8,189.5,820.6,2656.9,2529.6,127.3,3054.4,7700.1,7249.5,4242.5,2182.9,605.5,218.6,450.6
"Melaka",1993,225.6,218.5,7.1,111.4,143.945,139.962,3.983,25.903,81.639,78.503,3.136,85.484,225.6,217.5,118.8,74.3,23.4,1,8.1
"N. Sembilan",1993,292.6,284.4,8.3,144,172.1,165.4,6.7,38.4,120.6,119,1.6,105.6,292.6,287.9,161.6,74.6,50.6,1.1,4.7
"P. Pinang",1993,543.1,531,12.1,292.5,356.02,347.518,8.502,62.666,187.1,183.5,3.6,229.9,543.1,539.9,249.6,244.6,43.8,1.8,3.2
"Pahang",1993,393.2,378.7,14.6,231.4,271.1,264,7.1,46.5,122.2,114.7,7.5,184.9,393.2,374.7,262.4,89.2,22.8,0.3,18.5
"Perak",1993,699.6,669.8,29.8,432.9,455.2,435.6,19.6,91.8,244.4,234.1,10.2,341.2,699.6,676,297.6,268.4,105.6,4.3,23.6
"Perlis",1993,71.7,70.7,1,50.2,51.6,50.9,0.7,7.5,20.1,19.8,0.3,42.7,71.7,71,57.1,8.4,0.6,4.9,0.7
"Sabah",1993,725.3,674,51.3,389,527.8,495.3,32.5,67.7,197.5,178.7,18.8,321.3,725.3,558.5,376.1,96.1,4.7,81.6,166.8
"Sarawak",1993,810.2,753.8,56.4,272.8,506.6,479.1,27.5,50.5,303.6,274.7,29,222.4,810.2,782.1,547.1,227.6,2.7,4.7,28.1
"Selangor",1993,1110.1,1080.1,29.9,539,714.1,696.1,18,123.5,395.9,384,11.9,415.5,1110.1,1051.1,522.6,350.1,174.5,3.9,58.9
"Terengganu",1993,302.1,280.9,21.3,165.2,207,190.6,16.4,37,95.1,90.3,4.8,128.2,302.1,297.8,279.4,17.5,0.9,0,4.3
"W.P Kuala Lumpur",1993,598.6,580.5,18.1,256.3,388,377.6,10.5,68.3,210.5,202.9,7.6,187.9,598.6,571.9,230.1,276.6,62,3.1,26.7
"W.P Labuan",1993,18.4,17.3,1.1,13.7,14.8,14,0.9,2.4,3.6,3.3,0.2,11.2,18.4,15.9,10.1,4,1,0.8,2.5
"Johor",1995,915.4,891.8,23.6,496.3,609.6,595.6,14,104,305.8,296.2,9.6,392.3,915.4,879.8,474,332.9,57.3,15.7,35.6
"Kedah",1995,531.7,521.1,10.6,335.3,352.3,345.4,6.9,73.9,179.4,175.7,3.7,261.4,531.7,522.3,355.1,89.5,40.1,37.5,9.4
"Kelantan",1995,427.6,412.7,15,250.6,260.9,251.6,9.2,66.4,166.8,161,5.8,184.2,427.6,416,380.7,22.2,1.5,11.6,11.7
"Malaysia",1995,7893.1,7645,248.1,4297.7,5203.1,5056.6,146.5,967,2690,2588.4,101.6,3330.7,7893.1,7404.1,4351.1,2204.2,613.1,235.7,488.9
"Melaka",1995,227.9,222.8,5.1,142.2,150.703,147.293,3.41,32.647,77.226,75.487,1.739,109.586,227.9,218.2,115.2,79.4,14.7,8.9,9.8
"N. Sembilan",1995,305.6,296.2,9.4,172.6,195.5,188.6,6.9,42.5,110.1,107.5,2.6,130.1,305.6,294,145.2,86.1,50.1,12.5,11.6
"P. Pinang",1995,492.7,485.8,6.9,287.9,318.459,313.857,4.602,70.578,174.3,172,2.3,217.3,492.7,482.5,193.6,221,62.2,5.7,10.2
"Pahang",1995,385.1,371.4,13.7,246.9,280.2,272.3,8,51.4,104.9,99.1,5.7,195.5,385.1,362.8,242.2,78.8,25.9,15.9,22.3
"Perak",1995,659.9,634.3,25.6,474.1,436.7,421.5,15.2,104.7,223.2,212.8,10.4,369.4,659.9,651.9,306.9,239.1,98.5,7.4,8.1
"Perlis",1995,71.8,70.8,1,50.1,50.9,50.3,0.6,9.3,20.9,20.5,0.4,40.9,71.8,70.7,51.4,6.8,1.2,11.3,1.1
"Sabah",1995,764.7,722.7,42,394.9,547.2,521.6,25.5,67.6,217.6,201.1,16.5,327.3,764.7,530.8,370.7,103.1,0.9,56.1,234
"Sarawak",1995,828.6,789.2,39.5,313.7,525.2,506.7,18.6,62.5,303.4,282.5,20.9,251.2,828.6,813.9,579,227.4,2.8,4.7,14.7
"Selangor",1995,1366,1338.9,27.1,640.7,874.9,858.3,16.5,162.6,491.1,480.5,10.6,478.2,1366,1295.5,634.9,437.4,189.3,33.9,70.4
"Terengganu",1995,284.9,268,16.9,172.3,192.5,182.4,10.1,38.5,92.4,85.6,6.9,133.8,284.9,280.7,265.9,10.4,0.6,3.8,4.2
"W.P Kuala Lumpur",1995,598.4,588.4,10.1,301.2,381.1,375.2,5.9,78.1,217.3,213.2,4.1,223,598.4,562.2,217.1,268.1,67.8,9.2,36.3
"W.P Labuan",1995,32.6,31.1,1.5,18.9,27,25.8,1.2,2.2,5.6,5.3,0.3,16.7,32.6,22.9,19.1,2.1,0.2,1.4,9.7
"Johor",1996,1018.4,996.7,21.7,508.3,686.1,670.5,15.6,108.9,332.3,326.2,6.2,399.5,1018.4,905.3,489.2,338.2,69.4,8.5,113.1
"Kedah",1996,549.8,535.9,13.8,361.6,362.5,352.8,9.7,83.6,187.3,183.2,4.1,278.1,549.8,542.6,362.3,95.2,45.1,40.1,7.1
"Kelantan",1996,460.8,445.5,15.3,265.9,276.2,266.4,9.8,67.7,184.6,179.1,5.5,198.2,460.8,446.1,385.9,23.5,1.7,35,14.7
"Malaysia",1996,8616,8399.3,216.8,4379,5653.9,5514.2,139.6,1006.1,2962.1,2885,77.1,3372.9,8616,7702.5,4544.7,2272.4,636.1,249.4,913.5
"Melaka",1996,240.6,237,3.7,128.7,155.998,153.454,2.544,30.047,84.651,83.527,1.124,98.636,240.6,230.4,123.6,85.5,16.4,5,10.2
"N. Sembilan",1996,327.5,319.3,8.2,162,209.2,202.9,6.3,40.3,118.4,116.4,1.9,121.7,327.5,301.8,156.6,90.8,48.9,5.5,25.7
"P. Pinang",1996,452.4,449.4,3,294.3,302.757,300.61,2.147,69.175,149.7,148.8,0.8,225.1,452.4,433.4,177.3,195.1,54,7,19.1
"Pahang",1996,417,406.2,10.9,259.2,301.6,296,5.6,53.9,115.4,110.2,5.3,205.3,417,385.5,269.6,79.1,18.7,18.1,31.6
"Perak",1996,746.9,723,23.8,443.3,477.6,462.7,14.9,101.3,269.3,260.4,8.9,342,746.9,726.4,346,258.8,106.9,14.8,20.5
"Perlis",1996,71.5,70.1,1.4,47.4,49.4,48.5,0.9,9.4,22.1,21.6,0.6,38,71.5,71.1,56.4,6.9,0.8,7,0.5
"Sabah",1996,1032.3,992.5,39.8,467,732.5,705.4,27.1,82,299.7,287.1,12.7,384.9,1032.3,628.9,445.4,118.4,1.4,63.7,403.3
"Sarawak",1996,869.5,831.5,37.9,312.9,548.5,527.2,21.2,64.5,321,304.3,16.7,248.4,869.5,832.1,591.2,232.7,2,6.2,37.4
"Selangor",1996,1371.1,1359,12.1,619.5,882.2,874.5,7.7,163.8,488.9,484.6,4.3,455.7,1371.1,1235.5,609,415.9,184.4,26.2,135.6
"Terengganu",1996,308.1,298,10.1,164.8,200.1,193.6,6.5,36.7,108,104.4,3.7,128.1,308.1,293.2,278,10.4,1.1,3.7,14.9
"W.P Kuala Lumpur",1996,710.8,697.8,13,323.2,439.3,431.1,8.2,93,271.5,266.7,4.8,230.2,710.8,646.4,234.6,318.6,85.1,8.1,64.3
"W.P Labuan",1996,39.4,37.4,2,20.9,30.1,28.7,1.4,1.9,9.3,8.7,0.6,19,39.4,23.8,19.8,3.3,0.1,0.6,15.6
"Johor",1997,1076.9,1058.4,18.6,516.3,725.1,713.3,11.7,115.8,351.9,345,6.8,400.5,1076.9,966.9,525.9,352.4,81,7.5,110
"Kedah",1997,616.6,601.3,15.3,378.6,405.6,397.7,7.9,88.7,211,203.6,7.4,289.9,616.6,606.4,409.8,89.3,45.7,61.7,10.2
"Kelantan",1997,429.3,413.7,15.6,276.2,262.8,254.7,8.1,73,166.5,158.9,7.5,203.2,429.3,413.2,374,20.7,0.8,17.7,16.1
"Malaysia",1997,8784,8569.2,214.9,4605.1,5787.3,5657.7,129.6,1080.8,2996.7,2911.5,85.3,3524.3,8784,7825.1,4634.4,2303.1,635,252.5,959
"Melaka",1997,261.5,257.1,4.4,133.4,166.055,163.462,2.593,33.367,95.494,93.667,1.827,100.002,261.5,243.2,132.8,77.5,19.6,13.4,18.4
"N. Sembilan",1997,315.7,307.6,8.1,170.3,202.5,196.9,5.6,43.7,113.2,110.7,2.6,126.6,315.7,293.1,145.4,94.2,49,4.5,22.6
"P. Pinang",1997,558,552,6,259.8,344.235,341.176,3.059,65.695,213.7,210.8,2.9,194.1,558,517.4,210.3,242.2,56.8,8.1,40.6
"Pahang",1997,407.6,395.4,12.2,263.9,290.2,283.2,7,58.8,117.4,112.2,5.2,205.1,407.6,377.4,272.7,74.6,17.4,12.8,30.2
"Perak",1997,760.6,744.2,16.4,490.8,494.6,485.3,9.4,112.5,265.9,258.9,7,378.3,760.6,731.6,363,247,110.7,10.9,29
"Perlis",1997,71.8,70.1,1.7,48.4,48.7,47.8,0.9,11.1,23.1,22.3,0.8,37.4,71.8,71.1,55.8,10.1,0.8,4.5,0.7
"Sabah",1997,1048.5,1000.1,48.5,545.7,765.2,732.4,32.8,99.1,283.4,267.7,15.7,446.7,1048.5,631.6,442.8,120.2,2.5,66.1,417
"Sarawak",1997,864.9,831.5,33.4,346.3,556.1,537.6,18.5,71.3,308.8,293.9,14.9,274.9,864.9,824.5,588.4,228.2,1.6,6.4,40.4
"Selangor",1997,1343,1329.9,13.2,657.3,870.9,862,9,177.9,472.1,467.9,4.2,479.4,1343,1224.8,593.5,416.4,188.7,26.2,118.2
"Terengganu",1997,292.9,282.3,10.6,178.5,201.9,194.7,7.3,40,90.9,87.6,3.3,138.6,292.9,275.7,257.2,15.4,0.6,2.5,17.2
"W.P Kuala Lumpur",1997,700.7,691,9.7,321,425.3,420.2,5.1,86.8,275.4,270.8,4.6,234.1,700.7,622.4,244.8,309.9,59.8,7.9,78.3
"W.P Labuan",1997,35.9,34.7,1.2,18.5,28.1,27.3,0.7,3.1,7.9,7.4,0.5,15.4,35.9,25.9,18.1,5.2,0.2,2.4,10.1
"Johor",1998,1044.3,1027,17.3,565.9,728,717,11,130.1,316.3,310,6.2,435.8,1044.3,927.2,509,342,68.9,7.3,117.1
"Kedah",1998,587.1,567.3,19.8,372,387,373.2,13.9,83.3,200.1,194.2,5.9,288.8,587.1,568.8,399.6,89,37.8,42.5,18.3
"Kelantan",1998,449.1,430.7,18.3,281.4,272.8,260.7,12.1,73.8,176.3,170,6.3,207.7,449.1,432.6,374.4,26,0.9,31.3,16.4
"Malaysia",1998,8883.6,8599.6,284,4934,5904.2,5718.9,185.3,1196.8,2979.4,2880.7,98.7,3737.2,8883.6,7869.1,4672.3,2297.8,637.1,261.9,1014.5
"Melaka",1998,248.6,242.4,6.2,152.7,163.157,159.457,3.7,43.926,85.445,82.934,2.511,108.767,248.6,233.6,118,82.1,17,16.5,15
"N. Sembilan",1998,315.7,304.4,11.3,171.4,204.2,196.4,7.8,44.1,111.5,107.9,3.6,127.4,315.7,293.6,155.3,82.6,55.3,0.4,22.1
"P. Pinang",1998,599.3,585.2,14.1,278.8,370.042,361.529,8.513,71.765,229.2,223.7,5.5,207,599.3,551.7,201.4,274.4,64.4,11.5,47.6
"Pahang",1998,374.8,364.9,9.9,287.3,279.3,272.1,7.1,63.1,95.5,92.8,2.8,224.2,374.8,351.9,257,74.3,18.5,2,22.9
"Perak",1998,712.7,685,27.8,463,461.4,443.7,17.7,114,251.3,241.3,10.1,349,712.7,684.3,347.1,218,103.8,15.3,28.4
"Perlis",1998,74.2,71,3.2,53.7,51.7,49.9,1.9,12.1,22.5,21.1,1.3,41.6,74.2,72.8,53,10.6,0.8,8.4,1.4
"Sabah",1998,1123.7,1068.3,55.4,580.4,825,785.3,39.7,105.5,298.6,283,15.7,474.9,1123.7,689.7,490.7,125.5,2.6,70.9,433.9
"Sarawak",1998,868.1,824.3,43.8,373.3,560.9,535.7,25.2,83.4,307.3,288.6,18.6,289.9,868.1,824.9,586.6,229.7,1.3,7.2,43.3
"Selangor",1998,1457,1430.4,26.6,781.4,933.1,915.8,17.3,222.3,523.9,514.6,9.3,559.1,1457,1310.9,663.2,412.7,199.1,35.9,146.1
"Terengganu",1998,305.6,293.5,12.1,181.1,205.8,197.6,8.2,43,99.8,95.8,4,138.2,305.6,289.5,275.1,10.9,0.6,2.9,16.1
"W.P Kuala Lumpur",1998,685.6,668.3,17.2,371.9,433.7,423.3,10.5,103.7,251.8,245.1,6.8,268.2,685.6,611.7,223.8,314.3,65.8,7.8,73.9
"W.P Labuan",1998,37.9,37,0.9,19.7,28.1,27.3,0.8,3,9.8,9.7,0.1,16.8,37.9,25.8,18,5.6,0.3,1.9,12.2
"Johor",1999,1060.4,1029,31.4,608.8,728.3,705.5,22.8,148.8,332.1,323.6,8.6,460.1,1060.4,962.6,524.7,353.2,76.1,8.7,97.8
"Kedah",1999,701.4,678.7,22.7,422.4,462.9,448.1,14.8,97.1,238.5,230.5,8,325.3,701.4,688,448.7,107.2,57,75.1,13.4
"Kelantan",1999,451.1,436.8,14.3,294.2,285.1,275.5,9.6,79.5,166.1,161.3,4.8,214.7,451.1,427.8,384.6,21,0.8,21.3,23.4
"Malaysia",1999,9151.5,8837.8,313.7,5098.4,6063.5,5851.2,212.3,1261.1,3088,2986.5,101.4,3837.4,9151.5,8080.1,4819.3,2348.1,641.4,271.3,1071.4
"Melaka",1999,247.9,243.1,4.7,149.3,159.374,155.998,3.376,38.817,88.478,87.149,1.329,110.516,247.9,227.6,131.6,74.8,16.9,4.2,20.3
"N. Sembilan",1999,285.8,274.8,11,192.6,194.2,187,7.2,51.8,91.6,87.9,3.8,140.8,285.8,261.5,140.7,74.5,46.4,0,24.3
"P. Pinang",1999,617.5,602.9,14.5,274,369.313,359.433,9.88,71.071,248.1,243.5,4.7,202.9,617.5,570.2,232,261.6,54.9,21.6,47.3
"Pahang",1999,396.2,384.4,11.8,280.7,295,287.4,7.5,62.6,101.2,97,4.2,218.1,396.2,358.7,266.2,70.6,18.8,3.1,37.4
"Perak",1999,715.4,684.5,30.9,481.4,477.6,454.7,22.9,116.5,237.8,229.8,8,364.9,715.4,685.3,345.4,228.9,97,14.1,30
"Perlis",1999,81.2,78.5,2.7,54.5,52.6,50.8,1.8,12.6,28.6,27.7,1,41.9,81.2,79.6,61.8,9.7,1.4,6.7,1.7
"Sabah",1999,1167.2,1101.8,65.4,620.5,854,807.3,46.7,115.3,313.2,294.4,18.7,505.2,1167.2,712.4,499.6,128.4,1.7,82.8,454.7
"Sarawak",1999,906.9,865,41.9,378.7,572.7,548.7,24.1,88.3,334.2,316.3,17.9,290.4,906.9,856.4,608.3,238.8,4.2,5.2,50.5
"Selangor",1999,1455,1427.2,27.9,769.9,919.7,900,19.7,217.5,535.4,527.2,8.2,522.3,1455,1320.9,640.7,465.9,196.1,18.3,134.1
"Terengganu",1999,312.3,300.1,12.2,182.4,213,204.8,8.2,46.3,99.3,95.3,4,136.1,312.3,289.6,268.8,17.1,0.7,3,22.7
"W.P Kuala Lumpur",1999,710.4,689.7,20.7,363.6,448.7,435.6,13.1,109.5,261.7,254.1,7.6,254.1,710.4,611.2,244.9,291.4,69.3,5.6,99.2
"W.P Labuan",1999,42.9,41.2,1.7,25.4,31.2,30.3,0.9,5.3,11.7,10.9,0.8,20.1,42.9,28.2,21.3,5,0.2,1.7,14.7
"Johor",2000,1222.4,1195.4,27,604.1,813.2,793.6,19.6,136.6,409.2,401.9,7.4,467.5,1222.4,1103.4,638.1,370.2,89.7,5.3,119
"Kedah",2000,645.2,626.5,18.7,391.3,416.6,404.6,12,90.3,228.7,222,6.7,301,645.2,630,464.3,104.4,49.8,11.5,15.2
"Kelantan",2000,437.2,425.7,11.5,289,273.8,266.8,7,77.3,163.4,158.9,4.5,211.7,437.2,421.1,392.3,20.8,1.5,6.5,16.1
"Malaysia",2000,9556.139,9269.23,286.909,5065.063,6156.2,5973.5,182.7,1257.1,3399.9,3295.7,104.2,3807.9,9556.1,8610.9,5325.8,2479.9,706.7,98.5,945.2
"Melaka",2000,256.9,253.5,3.4,146,163.23,160.631,2.599,37.205,93.69,92.917,0.773,108.762,256.9,235.5,141.8,77.3,13.8,2.7,21.5
"N. Sembilan",2000,359.6,347.4,12.2,207.5,231.3,223.2,8.1,57.2,128.3,124.2,4,150.2,359.6,341.6,186,94.9,60.2,0.6,18
"P. Pinang",2000,682.3,669.2,13.1,280.9,386.276,377.111,9.165,74.382,296,292.1,3.9,206.5,682.3,610.6,246.1,295.1,67.6,1.9,71.7
"Pahang",2000,459.1,446.8,12.3,279.5,319.3,311.3,8,69.8,139.8,135.5,4.3,209.6,459.1,419.1,318.4,76.7,20.1,3.9,40
"Perak",2000,771.3,744.1,27.2,481.8,501.8,485.8,16,121.6,269.5,258.3,11.2,360.2,771.3,735,383.5,239.9,109.8,1.7,36.3
"Perlis",2000,77,74.8,2.2,49.6,50.2,48.9,1.3,10.9,26.8,25.8,0.9,38.7,77,76.1,63.9,8,1.1,3.1,0.9
"Sabah",2000,991.6,933.8,57.8,545.1,689.1,653.6,35.5,108.1,302.5,280.2,22.3,437,991.6,707,552.3,113.2,0.9,40.6,284.6
"Sarawak",2000,915.7,876.3,39.5,356.5,568.3,546.4,21.9,77.5,347.4,329.8,17.6,279,915.7,865.8,621.5,241.2,0.6,2.6,49.9
"Selangor",2000,1715.3,1681.5,33.8,858.9,1077.7,1054.1,23.5,233.8,637.6,627.3,10.2,625.1,1715.3,1533.5,767.3,531.3,220,14.9,181.8
"Terengganu",2000,315.4,306,9.4,190.8,211.9,206.2,5.7,50.6,103.5,99.8,3.7,140.2,315.4,302.1,289.3,11.4,0.9,0.5,13.3
"W.P Kuala Lumpur",2000,680.4,662.8,17.6,368.3,434,422.6,11.4,108.8,246.4,240.2,6.2,259.4,680.4,610,245.6,291.7,70.6,2.1,70.5
"W.P Labuan",2000,26.7,25.4,1.3,15.8,19.5,18.7,0.9,3,7.1,6.7,0.4,12.8,26.7,20.3,15.5,3.9,0.1,0.8,6.4
"Johor",2001,1279,1235.9,43.1,666.3,843.6,815.7,27.9,165.9,435.4,420.2,15.2,500.4,1279,1153.1,657.6,400.1,91,4.4,125.9
"Kedah",2001,727.4,701.1,26.4,460.2,459.6,442.6,16.9,107.3,267.9,258.5,9.4,352.9,727.4,704.3,521.4,105.5,65.7,11.6,23.2
"Kelantan",2001,448,434.3,13.7,323.3,287.2,280.7,6.5,89,160.8,153.6,7.2,234.3,448,432.3,398.5,21.5,0.9,11.4,15.7
"Malaysia",2001,9699.406,9357.022,342.384,5239.911,6268.3,6055.9,212.3,1344,3431.1,3301.1,130.1,3895.9,9699.4,8777.7,5461,2495,728.7,92.9,921.7
