"ConState","Year","AllLabourInsR","InsEmpR","InsUnempR","AllLabourOutR","AllLabourInsU","InsEmpU","InsUnempU","AllLabourOutU"
"Perlis",2002,38.1,36.8,1.2,29.4,20.7,20.1,0.6,13.2
"Sabah",2002,564.5,536.1,28.5,267.7,528.6,492.7,35.9,289.2
"Sarawak",2002,493.2,473.9,19.3,196.5,462.6,443.8,18.8,246.8
"Selangor",2002,146.5,141,5.5,91.1,1656.7,1608.8,47.9,880.7
"Terengganu",2002,150.4,145.4,4.9,99.1,138.5,134.2,4.3,88
"W.P Labuan",2002,10.1,9.6,0.5,5.6,23.9,23.3,0.6,12
"Johor",2003,432.2,414.7,17.5,220.7,883.1,854.4,28.7,410.5
"Kedah",2003,397.1,382.8,14.2,243.1,283.1,274.9,8.2,164.9
"Kelantan",2003,320.8,310.6,10.3,211.2,170.7,165.1,5.6,109
"Melaka",2003,85.2,82.7,2.5,49.7,195.3,190,5.3,116.8
"N. Sembilan",2003,151.7,145.6,6.1,81.3,200.6,194.4,6.2,103.5
"P. Pinang",2003,121.6,118.7,2.8,66.8,564.8,555.6,9.1,275.5
"Pahang",2003,264.5,254.9,9.6,160.1,212.6,205.1,7.5,120.2
"Perak",2003,286.9,270.1,16.7,200.3,484.5,464.5,20,324.5
"Perlis",2003,52.2,49.7,2.4,36.6,27.9,26.8,1.1,19.3
"Sabah",2003,575,549.7,25.3,249.1,559.5,523.4,36.2,321.9
"Sarawak",2003,466.5,449.3,17.1,178.8,479.9,460.6,19.3,240.6
"Selangor",2003,203,194.5,8.4,117.9,1692.3,1639.7,52.6,812.6
"Terengganu",2003,177.1,172.6,4.5,108.9,178,172.3,5.7,116.1
"W.P Labuan",2003,8.1,7.7,0.4,5.3,25.2,24.1,1.1,9.5
"Johor",2004,394.9,379.1,15.8,219.9,883.9,853.5,30.4,430.4
"Kedah",2004,397.9,382.1,15.8,237.4,282.5,272.4,10.1,177.9
"Kelantan",2004,292.3,280,12.2,231.1,162.9,156.6,6.3,124.4
"Melaka",2004,78.1,77,1.1,45.1,191.4,188,3.3,117
"N. Sembilan",2004,159,153.4,5.6,90.6,214.6,206.9,7.6,128
"P. Pinang",2004,120,117.7,2.4,64.9,516.7,507.3,9.4,262
"Pahang",2004,292.3,282.4,9.8,199.5,251.7,243.7,7.9,149.8
"Perak",2004,308.2,295.6,12.5,213.1,510.2,495.4,14.8,340.9
"Perlis",2004,47,45.4,1.6,36.3,29.3,28.4,0.9,20.5
"Sabah",2004,584.5,552.1,32.4,283.2,572.4,529.6,42.8,322.7
"Sarawak",2004,471.2,452.4,18.8,201.9,484,466.2,17.8,240.9
"Selangor",2004,191,182.6,8.3,113.5,1837.1,1790.7,46.4,903.8
"Terengganu",2004,173.1,167.9,5.2,110.8,174.8,169,5.8,123.5
"W.P Labuan",2004,7.9,7.6,0.3,5.3,26,24.7,1.4,10.9
"Johor",2005,355.5,343.6,11.9,221.3,924.5,893.5,31,472.5
"Kedah",2005,383.8,368.3,15.5,257.3,294.1,284.5,9.6,188.3
"Kelantan",2005,291.1,281.3,9.8,250.2,163.1,157.5,5.6,134.1
"Melaka",2005,71.6,70.6,1,46.3,202.9,200.5,2.4,121.8
"N. Sembilan",2005,149.2,142.8,6.4,91.9,237.5,230,7.5,127.6
"P. Pinang",2005,117.9,114.8,3.1,71.3,517.1,506.7,10.4,273.9
"Pahang",2005,279.9,270.3,9.5,198,262.9,254.4,8.5,169.8
"Perak",2005,297.3,284.9,12.3,222.7,531.5,516.3,15.2,351.2
"Perlis",2005,46.8,45.3,1.5,37.8,29.5,28.8,0.7,21.8
"Sabah",2005,585.9,557.7,28.2,280.9,595.9,549.1,46.9,359.8
"Sarawak",2005,472.5,453.3,19.2,217.8,477.8,457.6,20.2,262.4
"Selangor",2005,176.6,168.9,7.7,112.4,1872.2,1817,55.2,951.2
"Terengganu",2005,170.4,164.6,5.7,117.2,182.7,177.3,5.4,133.3
"W.P Labuan",2005,7.6,7.2,0.4,4.8,24.5,23.3,1.2,13.8
"Johor",2006,349.9,342,7.9,226.7,935.9,916.2,19.7,500.1
"Kedah",2006,389,375,14,261.1,293.4,281.8,11.6,206.1
"Kelantan",2006,300.3,293.4,6.9,254.4,169.5,164.9,4.5,142.2
"Melaka",2006,73.9,72.8,1.1,49.1,202.7,200.3,2.4,124.6
"N. Sembilan",2006,156.1,148.5,7.6,92.8,238.4,230.3,8.1,131.8
"P. Pinang",2006,125.4,122.5,2.9,75.6,533.5,525.2,8.3,263.8
"Pahang",2006,296.8,289.6,7.2,205,274.5,267.8,6.7,158.3
"Perak",2006,319.9,305.8,14.1,210.3,525.6,510,15.5,372.9
"Perlis",2006,48.7,47,1.7,38.6,28.3,27.5,0.7,23.3
"Sabah",2006,601.2,572.1,29.1,288.6,629.2,588,41.2,363.2
"Sarawak",2006,477.9,459.7,18.2,229.5,480.1,458.6,21.5,272.7
"Selangor",2006,178.5,172.3,6.2,111,1905.9,1845.3,60.6,980.6
"Terengganu",2006,172.8,166.7,6.1,120.8,191.8,184.8,7,140.9
"W.P Labuan",2006,7.5,7.1,0.5,5.3,26.2,23.5,2.7,13.4
"Johor",2007,366.3,358.9,7.4,225.2,947.3,927.8,19.5,520.5
"Kedah",2007,398.2,383.9,14.4,263.3,294.8,286.5,8.3,218.3
"Kelantan",2007,315,306.5,8.5,263.6,171.2,166.5,4.6,146.7
"Melaka",2007,67.4,65.9,1.5,39.3,223,218.4,4.6,130.4
"N. Sembilan",2007,155.2,149.6,5.6,99.3,240.6,232,8.6,136.5
"P. Pinang",2007,117,114.7,2.4,69.8,550.5,538.8,11.7,278.8
"Pahang",2007,296.9,285.3,11.5,202.8,283.3,276.6,6.7,174
"Perak",2007,305.3,296.4,8.9,210.5,572.5,555.8,16.7,368.5
"Perlis",2007,51.6,49.9,1.7,36.9,30.9,30.1,0.8,22.5
"Sabah",2007,619.7,590.2,29.4,288.6,648.1,608.3,39.7,385.7
"Sarawak",2007,500.3,481,19.3,208.3,497.2,473.1,24.1,286
"Selangor",2007,180.3,173,7.3,117.6,1947.7,1891.3,56.4,998.4
"Terengganu",2007,177.1,172.4,4.6,134.3,195.7,190.6,5.1,139.8
"W.P Labuan",2007,8.9,8.4,0.5,5.6,25.3,24.2,1.1,14
"Johor",2008,350.5,343.2,7.2,222.2,962.6,940.6,22.1,568.1
"Kedah",2008,396.7,380.5,16.2,276.3,306.3,295.5,10.7,221.3
"Kelantan",2008,318.4,309.3,9.2,267.1,182.5,177.2,5.3,151.5
"Melaka",2008,59.5,58.9,0.7,38.2,230.4,227.9,2.6,141.1
"N. Sembilan",2008,156.8,152,4.8,99.1,242.5,235.1,7.5,145.3
"P. Pinang",2008,117.4,114.9,2.5,68.7,571,560,10.9,274.5
"Pahang",2008,308.6,299.7,9,205.7,297,290.2,6.9,168.6
"Perak",2008,328.9,316.4,12.5,220.4,563.7,542.5,21.1,368.5
"Perlis",2008,51.1,49.6,1.5,38.4,32.9,31.9,1,22.4
"Sabah",2008,616.8,589,27.8,323.5,677.4,641.4,36,387.8
"Sarawak",2008,464.2,437.3,27,246.2,508.8,484.4,24.4,304.6
"Selangor",2008,168.2,161.5,6.7,111.7,1991.6,1930.5,61.1,1049.2
"Terengganu",2008,181.1,174.8,6.2,132.7,207.7,200.7,7,147.7
"W.P Labuan",2008,7.8,7.5,0.3,5.3,26.6,25,1.6,15.8
"Johor",2009,338.5,328.4,10.1,228.9,1011.5,977.9,33.6,563
"Kedah",2009,405.3,387.9,17.4,281.2,327.3,313.7,13.7,214.8
"Kelantan",2009,329.6,322,7.6,275.8,188.3,183.2,5,156.9
"Melaka",2009,60.8,59.3,1.5,38.6,230.1,224.7,5.4,147.7
"N. Sembilan",2009,153.3,146.9,6.4,106.9,248.9,239.5,9.3,147.1
"P. Pinang",2009,119.8,115.9,4,68.6,587.3,573.9,13.4,275.7
"Pahang",2009,313.2,302.4,10.8,200.5,309,301.2,7.8,177.3
"Perak",2009,333.8,323.1,10.7,217.4,589.9,568.4,21.5,366
"Perlis",2009,51,49.3,1.8,38.4,33.3,32.2,1,24.6
"Sabah",2009,635.4,603.8,31.6,313.1,709.9,666.9,43,408.8
"Sarawak",2009,506.8,484.4,22.4,225.3,517.4,493,24.4,304.6
"Selangor",2009,176,169.1,6.8,113.2,1997.3,1926.1,71.2,1100.5
"Terengganu",2009,192.2,184.6,7.6,136.4,213.4,205.7,7.7,148.3
"W.P Labuan",2009,9.3,8.8,0.6,5,28.3,26.7,1.5,14.5
"Johor",2010,396.2,387.8,8.4,226.9,1057.3,1031,26.3,592
"Kedah",2010,408.9,398.5,10.4,287,338,327.2,10.8,222
"Kelantan",2010,354.9,346.5,8.4,270.2,192.4,187.7,4.7,141.9
"Melaka",2010,68.7,67.8,0.9,45.5,269.9,267.2,2.7,170.7
"N. Sembilan",2010,155.9,150.2,5.6,106.5,262.4,255.2,7.3,168.4
"P. Pinang",2010,127.4,123.5,3.9,68.7,631.6,618.8,12.8,283.6
"Pahang",2010,294.5,285.8,8.7,194.1,314,305.2,8.7,174.5
"Perak",2010,337.9,327.9,10,246.1,568.1,550.8,17.3,396.1
"Perlis",2010,51.3,49.6,1.8,44.9,32.3,31.3,1,27.7
"Sabah",2010,728.2,694.4,33.8,359.7,752.5,704.2,48.3,405.7
"Sarawak",2010,518.7,494.7,24,224.9,575,550.9,24.1,309.9
"Selangor",2010,200.5,191.5,8.9,124.8,2433.9,2359.6,74.3,1224.9
"Terengganu",2010,184.9,179,5.9,125,195.7,187.6,8.1,147.1
"W.P Labuan",2010,10.4,9.8,0.6,5.5,29.7,27.9,1.8,14.2
"Johor",2011,382.2,373.1,9.1,236.7,1117.7,1088.8,28.9,579.6
"Kedah",2011,428.6,412.1,16.5,282.9,341.4,331.3,10.1,229.1
"Kelantan",2011,359,352.4,6.6,281.4,196.4,192.2,4.2,150.3
"Melaka",2011,67.9,67.2,0.6,44.4,275.4,273.6,1.8,178.4
"N. Sembilan",2011,172.5,167.9,4.6,108.5,256.7,248.2,8.5,172.4
"P. Pinang",2011,129.6,126.9,2.7,73.7,657.9,645.9,12,275.1
"Pahang",2011,302.2,294.2,8,196,322.4,314.1,8.2,181.7
"Perak",2011,350.3,339.9,10.4,237.8,594.3,579.8,14.5,393.4
"Perlis",2011,52.9,50.6,2.3,44.5,33.9,32.7,1.2,27.2
"Sabah",2011,723.9,683.8,40.1,362.8,838.5,790.6,48,402.1
"Sarawak",2011,533.8,511.5,22.4,246.1,569.6,546.7,22.9,320
"Selangor",2011,207.7,200.5,7.2,123.2,2503,2444.8,58.3,1171.8
"Terengganu",2011,190.6,185.3,5.3,122.4,212.6,205,7.6,146.8
"W.P Labuan",2011,10.2,9.8,0.5,5.8,30.1,28.8,1.2,14.6
"Johor",2012,391.3,379.9,11.4,229.6,1138.1,1101.6,36.5,592.3
"Kedah",2012,433.2,418.3,14.9,271.1,377.1,368.6,8.5,230.9
"Kelantan",2012,380.9,372.2,8.6,275.6,211.4,206.5,4.9,149.3
"Melaka",2012,61.2,60.7,0.4,38.6,297.7,296.3,1.4,179.9
"N. Sembilan",2012,160.8,155.4,5.3,102.7,294.9,286.7,8.2,161.8
"P. Pinang",2012,139.2,135.5,3.7,70.7,656.7,644.3,12.4,288.1
"Pahang",2012,317.4,308.4,9,184.5,333.5,324.7,8.9,187
"Perak",2012,345.8,335.8,10,232.3,609.6,591.3,18.3,414.9
"Perlis",2012,54.9,52.7,2.2,41.3,35.7,34.4,1.3,28.1
"Sabah",2012,726.5,692.8,33.7,323.3,901.4,844.6,56.8,457.1
"Sarawak",2012,566.8,548.2,18.6,217.1,618.2,595.7,22.5,305.9
"Selangor",2012,209.4,202.7,6.6,119.5,2633.3,2573.3,59.9,1106.6
"Terengganu",2012,185.6,180,5.6,130.8,216.2,209.6,6.6,154.1
"W.P Labuan",2012,10,9.5,0.5,5.7,31.3,30,1.4,14.8
"Johor",2013,378.4,369.5,9,207.1,1220.4,1184,36.5,564.2
"Kedah",2013,454.7,443.3,11.4,254,408,399,9.1,235.9
"Kelantan",2013,401.8,390.4,11.4,275.7,218,212.3,5.7,149.1
"Melaka",2013,58.9,58.4,0.5,33.7,319.3,317.1,2.2,174.5
"N. Sembilan",2013,170.9,165.4,5.5,93.2,308,298.8,9.2,161.9
"P. Pinang",2013,126.7,123.7,3,59.5,699.4,688.3,11.2,304.3
"Pahang",2013,318.2,308.2,10,175.3,360.7,351.5,9.2,186.4
"Perak",2013,332.4,322.6,9.8,225.5,652.8,625.3,27.5,417.2
"Perlis",2013,58,55.8,2.2,38.1,39.9,38.5,1.4,26
"Sabah",2013,775.4,740.5,35,321.4,1026.3,965.5,60.7,446
"Sarawak",2013,581.6,563.2,18.4,219,652.6,625.3,27.3,323.5
"Selangor",2013,218.5,212.9,5.6,104.3,2787.7,2720.4,67.3,1122
"Terengganu",2013,194.2,187.9,6.3,132.3,227.1,219,8,148.1
"W.P Labuan",2013,10.1,9.6,0.5,5.5,31.7,30.5,1.2,15
"Johor",2014,373.2,363,10.2,198.8,1248,1216.8,31.2,580
"Kedah",2014,279.1,271.8,7.3,143.4,605,588,17,350
"Kelantan",2014,341.6,331.4,10.2,218,304.6,293.8,10.8,207.2
"Melaka",2014,32.2,31.8,0.4,16.7,366.2,363.1,3.1,180.5
"N. Sembilan",2014,135.4,129.8,5.6,77.2,345.5,336.7,8.8,182.1
"P. Pinang",2014,51.2,49.9,1.2,23.7,801.4,789.3,12.1,324.6
"Pahang",2014,307.8,298.9,8.8,149.5,394.3,384.2,10,204
"Perak",2014,251.3,243.8,7.5,164.1,735.9,710.3,25.6,489.2
"Perlis",2014,41.9,40.8,1.1,27.1,56.5,54.4,2.2,38.5
"Sabah",2014,792.2,760,32.2,309.4,1039.3,980.9,58.4,485.7
"Sarawak",2014,576.8,563.8,12.9,189.3,694.6,668.4,26.2,348.6
"Selangor",2014,193.6,189.1,4.5,84.9,2902.4,2844.5,58,1136.2
"Terengganu",2014,156.4,149.3,7,100.5,276.5,265.5,10.9,182.5
"W.P Labuan",2014,5.4,5.1,0.2,3,37.6,35.7,1.9,17.3
"Johor",2015,373.2,361.2,11.9,183.4,1260,1221.4,38.6,616.5
"Kedah",2015,277.1,268.4,8.7,144.4,628.3,613.2,15.1,352.1
"Kelantan",2015,350.7,338.8,12,202.5,325.4,313.3,12.1,212.8
"Melaka",2015,28.2,28,0.3,15.7,374.2,370.4,3.8,185.9
"N. Sembilan",2015,136.7,132.4,4.3,72.5,346.9,336.3,10.6,189.5
"P. Pinang",2015,45.4,44.3,1.1,23.3,802.8,789.9,12.9,342.5
"Pahang",2015,305.8,296.8,9,148,412.4,400.7,11.7,201.4
"Perak",2015,238.3,232.5,5.8,153.5,776,749.3,26.7,483.3
"Perlis",2015,40.7,39.7,1,26.3,60.4,58.4,2,38.4
"Sabah",2015,806,777.4,28.6,289.2,1057.5,993.7,63.8,526.8
"Sarawak",2015,534.8,520.3,14.5,205,723.5,694.4,29,376.4
"Selangor",2015,186.2,181.9,4.3,90.5,3026.7,2953.1,73.6,1093
"Terengganu",2015,153.6,147.1,6.5,103.9,284.4,273.4,11,189.5
"W.P Labuan",2015,5.4,5.1,0.3,3,36.1,34.3,1.8,19.9
"Johor",2016,358.8,344.1,14.7,183.7,1280.3,1236.5,43.8,637.1
"Kedah",2016,257.2,249.5,7.8,140.5,653.7,634.9,18.8,367.9
"Kelantan",2016,329.7,317.1,12.6,226.8,328.1,315.8,12.3,228
"Melaka",2016,25.7,25.7,0.1,11.7,375.1,371.6,3.5,200.3
"N. Sembilan",2016,135.9,132.3,3.5,72.6,343.9,334.6,9.3,189.5
"P. Pinang",2016,44.5,43.3,1.2,23.6,801,784.1,16.9,356.2
"Pahang",2016,303.8,295.9,7.9,145.7,406.7,396.4,10.3,220.8
"Perak",2016,227.4,221.1,6.3,138.5,795.7,767.2,28.5,496.9
"Perlis",2016,41.1,40,1.1,23.9,62.1,60.2,1.9,40.5
"Sabah",2016,814.4,780.4,34,285,1112.7,1043.3,69.3,508.5
"Sarawak",2016,537,526,11.1,206.5,723.1,692.3,30.8,396
"Selangor",2016,177.4,172.8,4.6,93.2,3147.5,3044.8,102.7,1063
"Terengganu",2016,153,147.6,5.5,100.7,294.1,281,13.2,196.9
"W.P Labuan",2016,5.2,4.8,0.4,2.8,38.4,35.3,3,19.1
"Johor",2017,344.2,333.3,10.9,169.7,1327.5,1281.3,46.1,653.6
"Kedah",2017,257.4,248.8,8.5,129.7,673.4,655.5,17.9,377.8
"Kelantan",2017,336.9,325.7,11.2,203.5,357.9,344.3,13.6,238.7
"Melaka",2017,23.1,22.9,0.2,14.2,386.3,382.5,3.8,200.8
"N. Sembilan",2017,128.1,124.3,3.8,66.4,362.6,352.5,10.1,200.3
"P. Pinang",2017,37.7,36.4,1.3,22.2,801.7,785.8,16,381.3
"Pahang",2017,281.5,273.6,7.9,151.3,429,416.1,12.9,226
"Perak",2017,235.1,227.7,7.3,126.1,813.3,781.6,31.7,489.5
"Perlis",2017,36,35,1,23.8,65.4,62.9,2.5,44
"Sabah",2017,829.9,802.3,27.7,315.1,1073.4,993.6,79.8,562.7
"Sarawak",2017,514.2,502.4,11.7,211.1,776.5,749.4,27.1,401.2
"Selangor",2017,171.1,166.2,4.9,81.5,3286.5,3193.3,93.2,1028.4
"Terengganu",2017,146.4,142.6,3.8,94,309.9,293.3,16.6,208.3
"W.P Labuan",2017,4.9,4.5,0.5,3,36.8,33.7,3.1,20.8
"W.P Kuala Lumpur",1982,0,0,0,0,472.6,463.6,9,206.1
"W.P Kuala Lumpur",1983,0,0,0,0,439.6,430.7,8.9,182.9
"W.P Kuala Lumpur",1984,0,0,0,0,504.5,485.4,19.2,253.7
"W.P Kuala Lumpur",1985,0,0,0,0,509.7,491.7,18,247.3
"W.P Kuala Lumpur",1986,0,0,0,0,481.3,455,26.3,243.5
"W.P Kuala Lumpur",1987,0,0,0,0,485.5,457.9,27.6,239.6
"W.P Kuala Lumpur",1988,0,0,0,0,498.7,469.6,29.2,242.2
"W.P Kuala Lumpur",1989,0,0,0,0,524.3,504.7,19.6,263.1
"W.P Kuala Lumpur",1990,0,0,0,0,503.9,490.7,13.2,247.2
"W.P Kuala Lumpur",1992,0,0,0,0,569.6,555.8,13.7,273.3
"W.P Kuala Lumpur",1993,0,0,0,0,598.6,580.5,18.1,256.3
"W.P Kuala Lumpur",1995,0,0,0,0,598.4,588.4,10.1,301.2
"W.P Kuala Lumpur",1996,0,0,0,0,710.8,697.8,13,323.2
"W.P Kuala Lumpur",1997,0,0,0,0,700.7,691,9.7,321
"W.P Kuala Lumpur",1998,0,0,0,0,685.6,668.3,17.2,371.9
"W.P Kuala Lumpur",1999,0,0,0,0,710.4,689.7,20.7,363.6
"W.P Kuala Lumpur",2000,0,0,0,0,680.4,662.8,17.6,368.3
"W.P Kuala Lumpur",2001,0,0,0,0,723.2,703.7,19.5,378.5
"W.P Kuala Lumpur",2002,0,0,0,0,816.9,794.1,22.7,417.4
"W.P Kuala Lumpur",2003,0,0,0,0,740.3,715.1,25.2,383.9
"W.P Kuala Lumpur",2004,0,0,0,0,691.6,671.7,19.9,325.1
"W.P Kuala Lumpur",2005,0,0,0,0,691.4,675.2,16.1,336.8
"W.P Kuala Lumpur",2006,0,0,0,0,696.1,676.6,19.5,342.6
"W.P Kuala Lumpur",2007,0,0,0,0,702.4,682.1,20.3,344.8
"W.P Kuala Lumpur",2008,0,0,0,0,701,682.2,18.8,354
"W.P Kuala Lumpur",2009,0,0,0,0,698.3,678.1,20.2,366.6
"W.P Kuala Lumpur",2010,0,0,0,0,812.9,788,24.9,414.3
"W.P Kuala Lumpur",2011,0,0,0,0,837.6,812.5,25.1,405.4
"W.P Putrajaya",2011,0,0,0,0,41.9,41.4,0.5,9.2
"W.P Kuala Lumpur",2012,0,0,0,0,842.9,820.4,22.5,404.2
"W.P Putrajaya",2012,0,0,0,0,40.9,40.3,0.6,9.7
"W.P Kuala Lumpur",2013,0,0,0,0,907.3,877.8,29.5,353.2
"W.P Putrajaya",2013,0,0,0,0,41.2,40.7,0.5,9.2
"W.P Kuala Lumpur",2014,0,0,0,0,877,852,25,379.3
"W.P Putrajaya",2014,0,0,0,0,40.8,40.3,0.5,9.5
"W.P Kuala Lumpur",2015,0,0,0,0,882.6,853.4,29.1,369.6
"W.P Putrajaya",2015,0,0,0,0,38.9,38.5,0.4,10.8
"W.P Kuala Lumpur",2016,0,0,0,0,855.4,827.2,28.2,400.7
"W.P Putrajaya",2016,0,0,0,0,38.9,38.2,0.7,11.2
"W.P Kuala Lumpur",2017,0,0,0,0,867.9,840.9,27,395.4
"W.P Putrajaya",2017,0,0,0,0,37.7,37.2,0.6,11.6
