"ConState","Year","AllTotalMarital","NeverMarried","Married","Widow","DivorcePermSeparate","AllTotalAge","Age15to19","Age20to24","Age25to29","Age30to34","Age35to39","Age40to44","Age45to49","Age50to54","Age55to59","Age60to64"
"Johor",1982,653.1,252.6,378.6,16.3,5.6,653.1,86.1,130.9,107.6,88.3,65.8,56.3,45.5,38.3,20.7,13.5
"Kedah",1982,403.9,111.5,275,12.1,5.4,403.9,43.2,64,56.1,50.9,43.3,43.4,39.4,29.8,17.7,16.1
"Kelantan",1982,319.4,68.9,230.7,10.4,9.5,319.4,27.6,51,44.5,38.7,36.2,36,25,24.9,21.1,14.5
"Melaka",1982,174.1,68.6,98.3,5.1,2,174.1,21.9,33.8,28,21.3,19.6,13.9,14.3,10.8,6.3,4.1
"N. Sembilan",1982,222.8,77.2,136.8,6.7,2.1,222.8,28,41,34.6,29.1,22.6,23.9,18.5,13.8,7.1,4.2
"P. Pinang",1982,396,169.1,213.7,9.1,4.1,396,52.8,81.1,64.9,52.2,38.8,37.2,25.2,22.8,13.7,7.3
"Pahang",1982,279.6,95.6,175.1,5.6,3.3,279.6,36.2,54.9,43.7,39.4,31.4,28.6,18.4,11.5,9.9,5.7
"Perak",1982,638.6,222.9,386.6,20.9,8.1,638.6,79.8,109.9,86.5,77.8,66.9,65.5,56.4,47.1,28.6,20.1
"Perlis",1982,58.1,15.8,38.6,2.1,1.5,58.1,6.2,9.9,7.1,6.9,5.4,7.3,4.9,5.6,2.9,1.9
"Sabah",1982,354.3,116.6,222.5,11.4,3.8,354.3,42.2,75.3,59.7,48,31.8,33.8,24.1,18.5,12.4,8.5
"Sarawak",1982,539.7,167.4,349.1,16.3,6.9,539.7,81,96.8,79.6,65.9,55.2,47.9,36.5,33.5,23.1,20.1
"Selangor",1982,691.9,284.9,388.1,13.7,5.2,691.9,75.6,155.3,130.6,105.5,69.7,59.2,43.3,28.6,14.6,9.6
"Terengganu",1982,227.2,63.2,151.5,7,5.6,227.2,24.1,42.2,34,25.9,24.9,22.5,17.9,14.6,11.7,9.5
"W.P Kuala Lumpur",1982,472.6,229.7,232.4,7.9,2.7,0,0,0,0,0,0,0,0,0,0,0
"Johor",1983,650.9,240.4,386.4,15.2,9.1,650.9,83,122.7,107.4,86.7,68.4,60,43.8,37,24.5,17.5
"Kedah",1983,388.2,101.2,269.1,11,6.9,388.2,37.2,56.9,55.2,55,43.7,40,39.8,27,16.9,16.6
"Kelantan",1983,301.3,60.9,221.9,8.6,9.9,301.3,22.6,47.5,41.9,37,39.9,27.4,29.7,21.9,20.3,13.2
"Melaka",1983,170.3,61.8,100.6,6.7,1.3,170.3,19.8,28.5,27.4,24.9,16.9,19.2,13.2,12.1,5.2,3.1
"N. Sembilan",1983,223.5,73.9,140.5,6.9,2.2,223.5,22.7,41.8,33.7,29.1,18,29.3,19.4,15.8,7.8,5.9
"P. Pinang",1983,421,181.4,225.7,10.5,3.4,421,56.6,85.7,64.3,50.9,44.1,39.4,34.6,22.4,13.7,9.3
"Pahang",1983,342.6,105.6,227.7,6.2,3.1,342.6,35.5,67.5,57.9,56,35,32.9,27.9,14.6,8.1,7.2
"Perak",1983,704.9,256.1,423.6,17.9,7.3,704.9,95.5,118.4,98.4,89.3,70.6,65.1,63.4,47.9,32.2,24.4
"Perlis",1983,66,15.5,47.7,2.1,0.7,66,6.3,9.8,6.2,8,7.2,10.2,7.1,4.8,3.7,2.7
"Sabah",1983,393.8,129.7,246.4,10.9,6.8,393.8,48.5,81.3,70.4,54.4,35.1,34.4,26,20.4,13,10.3
"Sarawak",1983,569.5,187.3,356.8,17.4,8,569.5,89.5,101.5,82.6,68.1,57.8,51.4,38.7,35.7,24.2,20
"Selangor",1983,757.2,320.5,412.9,17.6,6.2,757.2,93.5,176.3,149.8,104.1,79.1,54.6,44.9,29.5,15.3,10.1
"Terengganu",1983,243.1,65.6,159.7,8.5,9.3,243.1,25,45.5,37.2,26.4,27.6,21.2,21.9,14.2,13.5,10.5
"W.P Kuala Lumpur",1983,439.6,206,224.5,5.6,3.5,0,0,0,0,0,0,0,0,0,0,0
"Johor",1984,688.2,259.8,404.6,15.7,8.1,688.2,79.4,138.5,109.9,93.6,73.7,63.2,56,36.3,23.5,14.1
"Kedah",1984,442.6,134.6,289.6,13.3,5.1,442.6,41.7,75.9,63.4,55.7,50.3,41.1,45.6,29.4,22.4,17
"Kelantan",1984,341,79.1,240.5,11.9,9.5,341,23.8,58.8,48.2,43.7,39.9,34.2,28.8,22.5,23.1,17.9
"Melaka",1984,171.8,64.1,100.8,5,1.9,171.8,19.6,33.4,26.3,18.6,19.8,17,14.7,12,6.7,3.7
"N. Sembilan",1984,234.9,79.9,146.2,6.9,1.8,234.9,21.8,43.8,39.2,33.7,23.5,22.2,22.5,14.6,9.2,4.5
"P. Pinang",1984,397.9,164.5,220.3,9.1,4,397.9,38.1,87.8,64.3,53.2,49.2,34,29.2,22.4,12.5,7.2
"Pahang",1984,321.7,111.2,199.9,7.3,3.3,321.7,38.5,61.2,53.6,45.6,36.3,30.7,25.4,13.6,9.5,7.2
"Perak",1984,697.2,237.5,428.7,23.2,7.8,697.2,81,113.3,100.8,93.3,82.6,63.1,60.8,49.1,32.3,20.9
"Perlis",1984,64.8,18.1,44.4,1.4,0.8,64.8,7.2,8.9,9.6,9.7,8.4,5.9,7.2,3.1,2.6,2.2
"Sabah",1984,425.9,147.6,258.4,12.5,7.4,425.9,54.5,84.6,75.4,59.5,37.4,39.8,28.5,21.5,13.7,10.9
"Sarawak",1984,616.7,208.3,383.1,16.5,8.8,616.7,100.8,111.9,86.8,76,62,54.8,42.4,37.5,24,20.6
"Selangor",1984,718.8,292.4,408,12.4,6,718.8,76.6,161,139.9,105.7,77.1,55.9,45.6,29.5,16,11.5
"Terengganu",1984,219.3,69.6,137.6,7,5.1,219.3,22.9,42.3,34.3,28.4,23.5,18.6,20.3,12.3,8.4,8.3
"W.P Kuala Lumpur",1984,504.5,238,254.9,7.8,3.9,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",1984,17.3,7.6,9.1,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0
"Johor",1985,710.4,274.9,412.5,17.3,5.6,710.4,88,141.5,112.6,93.9,81.2,61.7,55.3,35.6,26.6,14
"Kedah",1985,445.4,134.8,290.3,13.8,6.4,445.4,44.5,76.6,64.5,59.1,50.7,39.7,45.3,27.9,21.5,15.6
"Kelantan",1985,344.3,84.3,237.8,10.4,11.8,344.3,26,57.8,47.5,39.9,40.2,39.4,30.4,23.1,23.3,16.6
"Melaka",1985,180,71.1,102,4.7,2.3,180,19.9,39.5,27.6,20.7,18.6,16,14.3,10.5,8,5.1
"N. Sembilan",1985,221.1,73,138.6,7,2.5,221.1,19.8,38.6,34.2,32.4,27.9,22.4,21.2,12.7,8.8,3.2
"P. Pinang",1985,408.5,168.9,227,9.8,2.9,408.5,35.6,90.2,71.5,56.1,50,36.1,29.5,21.4,11.8,6.3
"Pahang",1985,342.7,121.2,210,8.3,3.1,342.7,42,66.2,54.7,47.8,40,30.8,28.7,15,10.4,7.1
"Perak",1985,713.1,250.2,434.3,21.6,7,713.1,82,124.1,104.2,92,82.5,64.1,61.3,49.8,33.5,19.5
"Perlis",1985,65.5,18.3,44.8,1.6,0.8,65.5,5.8,8.8,9.7,10.4,8.6,6.6,6.3,3.8,3.5,2.1
"Sabah",1985,431,146.8,265.8,11.7,6.8,431,52.9,79.8,78.6,61,41.7,37.5,31.1,23.7,14.5,10.1
"Sarawak",1985,632.7,214.4,393.4,16.1,8.9,632.7,102.6,114.5,91.6,78.4,64.1,55.1,43.9,35.7,27.3,19.5
"Selangor",1985,740.6,309.8,412.8,13.2,4.8,740.6,72.5,166.3,144.5,110.3,82.6,53,51.4,31.1,18.9,10
"Terengganu",1985,228.9,70.4,147.9,6,4.6,228.9,23.1,41.1,35.3,30.3,24.7,20.9,22.7,11.7,9.4,9.7
"W.P Kuala Lumpur",1985,509.7,241.1,257.1,8,3.5,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",1985,16.3,6.7,9.1,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0
"Johor",1986,751.2,294.7,431.6,18.2,6.7,751.2,90.4,151.5,121.8,103.7,85.4,58.1,56.7,40.1,27,16.6
"Kedah",1986,455,144.8,293.7,11.5,5.1,455,43.9,79.5,63.8,58.7,53.4,45,42.8,31.5,23.5,12.9
"Kelantan",1986,365.1,93.8,250.9,10.3,10.1,365.1,31.1,63.9,51.2,47.2,41.3,39.4,31.6,22.3,20.7,16.5
"Melaka",1986,187.7,76.8,103.8,5.2,1.8,187.7,22.8,38.2,27.8,24.7,19.8,15,15.1,11,7.7,5.6
"N. Sembilan",1986,229.5,78.4,142.8,6.5,1.8,229.5,22,40.5,38.6,33.3,27.4,17.6,22.8,12.2,9.9,5.2
"P. Pinang",1986,427.2,185.5,228.8,9,4,427.2,38,96.5,72.7,60.7,50.9,36.2,31.2,20.4,13.3,7.4
"Pahang",1986,331.6,118.2,201.5,7.7,4.2,331.6,40.7,61.4,51.1,45.6,38.7,29.7,28.8,19,10.4,6.2
"Perak",1986,734.2,267.1,440.5,20,6.6,734.2,87.1,123,109.9,92.2,87.9,64.8,61.6,55.5,33.7,18.4
"Perlis",1986,62.6,20.3,39.1,2,1.2,62.6,5.9,12.9,9.9,6.9,5.3,5.2,6.3,4.5,3.5,2.2
"Sabah",1986,441.6,148.2,275.4,11.3,6.6,441.6,56.5,78.1,77.8,62.2,44.7,36.4,33.9,24.4,16.4,11
"Sarawak",1986,674.8,237.5,409.6,17.5,10.1,674.8,111.7,126.9,92.7,84.6,66.1,58.1,45.4,38.7,29.9,20.7
"Selangor",1986,823.7,338.6,465.6,14.5,5.1,823.7,81.7,176.7,154.2,130.6,103.1,63.1,54.9,31.4,18.7,9.2
"Terengganu",1986,241.4,74,155.8,5,6.6,241.4,23.6,46.3,38.3,29.7,24.7,23.4,21.4,13.9,10.9,9.1
"W.P Kuala Lumpur",1986,481.3,224.7,246.9,6.5,3.2,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",1986,15.3,6.2,8.7,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0
"Johor",1987,781.8,307.7,448.6,17.8,7.7,781.8,87.4,155.8,126.5,107.4,84.7,64.7,62.5,47.1,28.9,16.9
"Kedah",1987,456.5,147.6,288.7,11.3,8.9,456.5,47.9,79.6,62.7,58.8,55.7,43.3,42.1,31.7,20.6,14.1
"Kelantan",1987,375,99.2,253.8,11.1,10.9,375,28.6,65.1,56.1,45.8,40.8,37.1,36.7,25.9,22.1,16.9
"Melaka",1987,192.1,72.3,113.8,3.9,2.1,192.1,21,35.5,28.6,25,21.6,19.5,16.5,12.6,7.3,4.5
"N. Sembilan",1987,240,81.3,149.7,6.4,2.6,240,21,41.3,38.9,37.1,33.4,20.1,19.9,14.3,9.3,4.8
"P. Pinang",1987,432.8,188.9,231.1,8.7,4.1,432.8,40.4,90.8,77.3,62.2,51.3,38.7,27.9,21.7,13.3,9.3
"Pahang",1987,354.1,122.1,222.1,6.7,3.2,354.1,42.3,63.2,58.3,48.8,43.5,31.9,28.8,19.4,10.7,7.2
"Perak",1987,728.8,267.3,428,23.5,10,728.8,82.6,123.7,106.7,89.4,86.1,65,65.2,49.9,36.2,23.9
"Perlis",1987,64.9,19.5,42.7,1.7,1,64.9,6.5,10.8,9.1,8.7,8.6,6.8,4.8,3.6,4.1,2
"Sabah",1987,466.5,156.7,290.3,12.1,7.3,466.5,63.1,77.9,82.1,66.1,53.6,34.3,37.7,24.5,16,11.2
"Sarawak",1987,712.2,259.7,422.9,18,11.6,712.2,118.1,131.6,102.9,85.9,74.7,59.4,51.2,37.3,31.1,20.1
"Selangor",1987,916.6,373,520,16.9,6.6,916.6,85.3,198.7,173.8,141,107.3,75.5,62.3,42,20.4,10.4
"Terengganu",1987,236.5,76.5,148.6,6.7,4.6,236.5,26,42.8,37.3,31.4,24.6,24.3,17,14.7,11.1,7.3
"W.P Kuala Lumpur",1987,485.5,220.6,254.7,6.6,3.5,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",1987,13.6,4.9,8.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0
"Johor",1988,837,321.9,491.9,15.8,7.4,837,98.5,156.5,133.4,119.9,98.1,78.7,59.3,46.1,26.6,19.8
"Kedah",1988,496.1,156.6,315.2,15.7,8.6,496.1,51.3,87.1,67.9,64,52.7,44.2,44.6,39.3,28.8,16.1
"Kelantan",1988,393.9,113.3,256.1,10.1,14.5,393.9,39,67.2,55.1,47.8,48.7,40.3,31.6,27.3,20.3,16.6
"Melaka",1988,190.9,77.7,106.4,5,1.9,190.9,20.4,36.4,27.6,24.2,22.8,21.5,15.6,11.3,6.2,4.9
"N. Sembilan",1988,242.5,87.8,147.6,4.8,2.3,242.5,25.1,44,37.3,33.8,31,21.4,20.5,16,8.4,5
"P. Pinang",1988,427.8,190.2,226.7,7.5,3.4,427.8,39.4,93.2,79.3,56.3,47.2,37.7,32.5,24.1,10.3,7.7
"Pahang",1988,374.8,132.4,231.3,6.2,5,374.8,44.1,71.8,64.6,48.3,42.7,35.5,30.4,21.8,10.1,5.6
"Perak",1988,715,269.9,418.6,20.3,6.2,715,76.5,131.4,93.5,87.2,83.8,66,61.5,56.3,36.1,22.7
"Perlis",1988,70.9,20.1,48.2,1.4,1.2,70.9,5.3,11,11.6,10.3,8.7,6.2,6.4,5.8,2.7,3
"Sabah",1988,462.6,159.5,283.2,12.7,7.2,462.6,55.6,79.6,78.2,69.2,54.5,35.6,35.5,24.9,18.1,11.2
"Sarawak",1988,710.3,258.8,422,17.7,11.8,710.3,119.3,129.4,104.2,86.8,71.4,58,52.2,38.8,31.6,18.7
"Selangor",1988,949,382.1,546,14.8,6.1,949,88.4,191.4,181.6,152.7,113.2,79.4,63.5,43.7,20.6,14.4
"Terengganu",1988,253.6,86.2,155.8,6.2,5.4,253.6,30.3,46.2,40.4,29.7,26.6,23.2,20.9,17.1,11.1,8.1
"W.P Kuala Lumpur",1988,498.7,220.5,265.3,7.7,5.1,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",1988,13.8,5.2,8.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0
"Johor",1989,861.8,338.5,496.8,19.5,7,861.8,92.4,170.9,144.2,116.5,99,78.2,62.4,51.3,29,17.9
"Kedah",1989,470,157.3,292.7,13.8,6.3,470,48.2,78.6,70.3,58.1,56.6,46.6,37.1,33.3,23.4,17.8
"Kelantan",1989,388.3,106,263.9,10.3,8.2,388.3,37.6,63.2,58.8,49.1,40.4,39.5,38.7,28.7,17.3,15.2
"Melaka",1989,197.8,77.3,114.4,3.7,2.3,197.8,18.8,38.8,32.4,26.2,22.6,19,14.1,12.4,7.4,6.1
"N. Sembilan",1989,241,81.8,151.1,5.1,3,241,24,36.3,38.2,35,33.9,23.9,19.2,15.6,8.9,6
"P. Pinang",1989,453.9,207.8,234.5,7.9,3.7,453.9,39.9,102.1,77.1,63.6,55.3,41.1,31.8,23.3,12.4,7.3
"Pahang",1989,393.8,138.6,245,7,3.3,393.8,42,72.6,62.7,55.1,47.6,39.3,30.9,24.9,12.6,6.2
"Perak",1989,726.5,265.5,431.9,21.8,7.1,726.5,74.9,120.1,108.1,90.2,79.2,76.4,66.5,54.9,33.6,22.5
"Perlis",1989,70.9,21.5,46.8,1.1,1.5,70.9,5.4,12.8,9.6,10.4,9.6,6,6.8,5.4,2.8,2.2
"Sabah",1989,477.5,162.7,297.9,10.4,6.5,477.5,60.9,79.3,76.8,73.6,59.5,37.2,36.5,26,17.8,9.8
"Sarawak",1989,760,273.1,458.5,17.4,11,760,123.7,137.8,112.4,88.9,80.9,64.5,55,40.9,34.2,21.8
"Selangor",1989,936.8,379.7,533.4,15.6,8,936.8,79.8,195.2,185.5,147.8,117.2,78.5,61.7,41.2,19.3,10.6
"Terengganu",1989,262.1,90.6,160.5,7,3.9,262.1,30,49.6,44.3,35.1,24.9,21.7,20.6,20.2,9.5,6.2
"W.P Kuala Lumpur",1989,524.3,227.5,283.3,7.8,5.7,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",1989,14.7,5.4,8.9,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0
"Johor",1990,949.1,377.4,545.3,18.5,7.8,949.1,115.5,172.5,156.9,134.3,110.7,95.3,63,56.6,25,19.3
"Kedah",1990,489.3,159.4,311.2,13.1,5.6,489.3,49.3,85.3,70,63.7,56.1,54,37.5,34.9,20.8,17.6
"Kelantan",1990,390.7,103.6,264.7,12.5,9.9,390.7,37.2,59.3,54.9,50,44.3,39.4,40.9,29.8,19.3,15.7
"Melaka",1990,187.8,71.4,109.4,5.4,1.6,187.8,19.2,34.7,31.5,26.4,19.4,16.5,14.2,14.6,6.7,4.6
"N. Sembilan",1990,224.5,70.9,146.4,4.6,2.5,224.5,18.6,36.1,33.4,32.2,27.7,25.3,17.8,18.5,9.3,5.6
"P. Pinang",1990,470.3,212.1,245,8.9,4.3,470.3,47.9,103.7,89.8,60.7,55.6,41.5,26.3,24.4,11.4,8.8
"Pahang",1990,442.5,150.5,281.1,7.8,2.6,442.5,42.5,83.3,74.2,62.4,55,47.4,32.3,26.1,12.4,6.8
"Perak",1990,706.8,256.5,422,20.8,7.5,706.8,71,108.5,106.4,96,81.6,70.5,58.7,53.2,35.2,25.7
"Perlis",1990,59.7,14.7,43.3,1.2,0.5,59.7,3.5,9.9,7.4,8.5,8.6,5.6,4.8,4.8,3.6,3.1
"Sabah",1990,479.9,175.2,287.7,11.9,5,479.9,60.4,81.6,72.2,73.5,58.5,40.5,34.5,28.1,18.6,11.9
"Sarawak",1990,775.4,281.2,463.9,18.5,11.7,775.4,121.1,139.7,117.5,95.6,83.5,65.5,55.8,42.2,31.1,23.4
"Selangor",1990,1060,458.3,575.9,16.1,9.7,1060,92.1,234.5,212.4,166.8,124.1,90.2,63.2,45.4,19.3,12.1
"Terengganu",1990,244.6,84.9,149.6,6,4,244.6,32.3,41.9,36.1,28.8,24.6,24.3,20.6,18.2,10.5,7.3
"W.P Kuala Lumpur",1990,503.9,226.2,265.2,7.7,4.8,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",1990,15.7,4.6,10.6,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0
"Johor",1992,947.1,378.5,539.1,17.9,9.1,947.1,92,183,172.1,134.2,107.2,93,62.6,53.3,31.6,18.1
"Kedah",1992,514,166,326.2,15.5,6.2,514,48,82.8,72.8,69.6,64.1,56.1,41.5,35,25.7,18.4
"Kelantan",1992,404.1,105.2,277,12.3,9.5,404.1,35.2,56,58.7,55.7,47.8,39.5,38.1,31.2,22.8,19.1
"Melaka",1992,214.4,80.9,127.4,3.4,2.6,214.4,22.7,36.6,33,32,22.1,22.6,17.8,15.3,7.7,4.6
"N. Sembilan",1992,259.8,82.5,165.9,7.3,3.4,259.8,20.9,40.6,37.6,40.5,37.8,27.9,19.2,17.5,11.8,6
"P. Pinang",1992,521.4,235.2,270.7,9.5,5.7,521.4,44.5,114.4,96.3,76.4,55.7,49,38.7,27,12.5,6.8
"Pahang",1992,428.9,142.3,272.8,9,4.6,428.9,39,71.5,69.6,61.3,51.2,46.3,35.3,28.3,17.4,9
"Perak",1992,719.7,245.4,446.4,19.8,8.1,719.7,62.1,107.1,107,95,88.9,80.5,63,53.9,37.9,24.2
"Perlis",1992,68.8,19.1,47,1.4,1.3,68.8,4.9,11.1,8.5,8.2,8.7,7.7,6.5,6.1,3.6,3.5
"Sabah",1992,524.3,180.8,319,15.2,9.2,524.3,65.2,91,72.3,79.8,66.3,52.9,32.7,33.6,18.6,11.8
"Sarawak",1992,771.1,278.3,464.7,18.2,9.8,771.1,101.8,145.6,120.7,95.3,83.6,69,55.7,45.5,30.3,23.5
"Selangor",1992,1092.8,456.6,607,18.1,10.3,1092.8,87.4,231.1,221.5,171.7,143.4,99.6,62.5,41.5,21,13.1
